
Reading from file '/home/lorenzosciandra/Documenti/Code/BranchAndBound1Tree/data/AdjacencyMatrix/tsp_100_nodes/tsp_test_38.csv'

Writing to file '/home/lorenzosciandra/Documenti/Code/BranchAndBound1Tree/results/AdjacencyMatrix/tsp_100_nodes_classic/tsp_result_38.txt'

Optimal tour found with candidate node = 63, elapsed time = 325.198789s and interrupted = FALSE

B-&-B tree with generated BBNodes = 52721,  explored BBNodes = 23147 and max tree level = 19

SUBPROBLEM with cost = 7.740479, type = CLOSED_NEW_BEST, level of the BB tree = 12, prob = 0.000000, BBNode number = 33738 and time to obtain = 66.083961s
MST or 1-Tree with cost: 7.531257 and validity = TRUE
Edge3380: 43 <--> 69 weight = 0.010287 prob = 0.000000
Edge2642: 31 <--> 69 weight = 0.040423 prob = 0.000000
Edge1561: 17 <--> 31 weight = 0.111054 prob = 0.000000
Edge1619: 17 <--> 89 weight = 0.077761 prob = 0.000000
Edge3859: 52 <--> 89 weight = 0.078320 prob = 0.000000
Edge2275: 26 <--> 52 weight = 0.111966 prob = 0.000000
Edge506: 5 <--> 26 weight = 0.064054 prob = 0.000000
Edge553: 5 <--> 73 weight = 0.063911 prob = 0.000000
Edge4258: 62 <--> 73 weight = 0.019474 prob = 0.000000
Edge3083: 38 <--> 62 weight = 0.008922 prob = 0.000000
Edge3101: 38 <--> 80 weight = 0.041368 prob = 0.000000
Edge4762: 80 <--> 82 weight = 0.101546 prob = 0.000000
Edge3555: 46 <--> 82 weight = 0.076074 prob = 0.000000
Edge3556: 46 <--> 83 weight = 0.014091 prob = 0.000000
Edge4828: 83 <--> 97 weight = 0.076054 prob = 0.000000
Edge4717: 77 <--> 97 weight = 0.123089 prob = 0.000000
Edge1100: 11 <--> 77 weight = 0.079028 prob = 0.000000
Edge1059: 11 <--> 36 weight = 0.105621 prob = 0.000000
Edge327: 3 <--> 36 weight = 0.015910 prob = 0.000000
Edge295: 3 <--> 4 weight = 0.067306 prob = 0.000000
Edge416: 4 <--> 30 weight = 0.052199 prob = 0.000000
Edge1878: 21 <--> 30 weight = 0.084924 prob = 0.000000
Edge1936: 21 <--> 88 weight = 0.156314 prob = 0.000000
Edge2927: 35 <--> 92 weight = 0.005468 prob = 0.000000
Edge3675: 48 <--> 99 weight = 0.069406 prob = 0.000000
Edge4536: 70 <--> 91 weight = 0.030398 prob = 0.000000
Edge74: 0 <--> 74 weight = 0.076812 prob = 0.000000
Edge4872: 86 <--> 99 weight = 0.093417 prob = 0.000000
Edge2808: 34 <--> 37 weight = 0.027446 prob = 0.000000
Edge2826: 34 <--> 55 weight = 0.045908 prob = 0.000000
Edge2346: 27 <--> 51 weight = 0.036748 prob = 0.000000
Edge592: 6 <--> 19 weight = 0.148100 prob = 0.000000
Edge1958: 22 <--> 33 weight = 0.060827 prob = 0.000000
Edge988: 10 <--> 53 weight = 0.021710 prob = 0.000000
Edge983: 10 <--> 48 weight = 0.083013 prob = 0.000000
Edge1672: 18 <--> 61 weight = 0.042789 prob = 0.000000
Edge710: 7 <--> 45 weight = 0.038194 prob = 0.000000
Edge4941: 95 <--> 96 weight = 0.030541 prob = 0.000000
Edge4402: 66 <--> 79 weight = 0.030531 prob = 0.000000
Edge4850: 85 <--> 90 weight = 0.007813 prob = 0.000000
Edge2085: 23 <--> 84 weight = 0.044059 prob = 0.000000
Edge1535: 16 <--> 87 weight = 0.046287 prob = 0.000000
Edge3933: 54 <--> 72 weight = 0.043735 prob = 0.000000
Edge2147: 24 <--> 71 weight = 0.079461 prob = 0.000000
Edge2753: 33 <--> 47 weight = 0.054702 prob = 0.000000
Edge3047: 37 <--> 87 weight = 0.070767 prob = 0.000000
Edge2485: 29 <--> 49 weight = 0.043297 prob = 0.000000
Edge3313: 42 <--> 58 weight = 0.064780 prob = 0.000000
Edge2888: 35 <--> 53 weight = 0.089602 prob = 0.000000
Edge4007: 56 <--> 59 weight = 0.162602 prob = 0.000000
Edge2231: 25 <--> 81 weight = 0.033087 prob = 0.000000
Edge3248: 41 <--> 50 weight = 0.045199 prob = 0.000000
Edge1409: 15 <--> 44 weight = 0.038174 prob = 0.000000
Edge3749: 50 <--> 74 weight = 0.098210 prob = 0.000000
Edge4041: 56 <--> 93 weight = 0.095117 prob = 0.000000
Edge4383: 65 <--> 93 weight = 0.091966 prob = 0.000000
Edge4188: 60 <--> 78 weight = 0.075028 prob = 0.000000
Edge4838: 84 <--> 92 weight = 0.105856 prob = 0.000000
Edge291: 2 <--> 96 weight = 0.079204 prob = 0.000000
Edge254: 2 <--> 59 weight = 0.166364 prob = 0.000000
Edge1538: 16 <--> 90 weight = 0.058981 prob = 0.000000
Edge2194: 25 <--> 44 weight = 0.030705 prob = 0.000000
Edge23: 0 <--> 23 weight = 0.133345 prob = 0.000000
Edge1451: 15 <--> 86 weight = 0.132066 prob = 0.000000
Edge3166: 39 <--> 85 weight = 0.065722 prob = 0.000000
Edge722: 7 <--> 57 weight = 0.100144 prob = 0.000000
Edge153: 1 <--> 55 weight = 0.099947 prob = 0.000000
Edge2136: 24 <--> 60 weight = 0.081073 prob = 0.000000
Edge797: 8 <--> 41 weight = 0.041382 prob = 0.000000
Edge834: 8 <--> 78 weight = 0.078661 prob = 0.000000
Edge2517: 29 <--> 81 weight = 0.050532 prob = 0.000000
Edge1261: 13 <--> 65 weight = 0.074344 prob = 0.000000
Edge2434: 28 <--> 68 weight = 0.062636 prob = 0.000000
Edge1798: 20 <--> 28 weight = 0.051170 prob = 0.000000
Edge3579: 47 <--> 54 weight = 0.074430 prob = 0.000000
Edge2680: 32 <--> 40 weight = 0.123661 prob = 0.000000
Edge891: 9 <--> 45 weight = 0.077976 prob = 0.000000
Edge645: 6 <--> 72 weight = 0.160045 prob = 0.000000
Edge1357: 14 <--> 76 weight = 0.044202 prob = 0.000000
Edge4670: 75 <--> 95 weight = 0.079693 prob = 0.000000
Edge1254: 13 <--> 58 weight = 0.055250 prob = 0.000000
Edge858: 9 <--> 12 weight = 0.066369 prob = 0.000000
Edge1332: 14 <--> 51 weight = 0.084993 prob = 0.000000
Edge4921: 91 <--> 98 weight = 0.096253 prob = 0.000000
Edge1705: 18 <--> 94 weight = 0.093651 prob = 0.000000
Edge4654: 75 <--> 79 weight = 0.087549 prob = 0.000000
Edge3201: 40 <--> 61 weight = 0.118589 prob = 0.000000
Edge1967: 22 <--> 42 weight = 0.156668 prob = 0.000000
Edge117: 1 <--> 19 weight = 0.167035 prob = 0.000000
Edge2362: 27 <--> 67 weight = 0.121434 prob = 0.000000
Edge1802: 20 <--> 32 weight = 0.116847 prob = 0.000000
Edge3694: 49 <--> 68 weight = 0.104803 prob = 0.000000
Edge3151: 39 <--> 70 weight = 0.158845 prob = 0.000000
Edge4066: 57 <--> 76 weight = 0.120971 prob = 0.000000
Edge1208: 12 <--> 98 weight = 0.085156 prob = 0.000000
Edge4322: 64 <--> 66 weight = 0.105093 prob = 0.000000
Edge4350: 64 <--> 94 weight = 0.107796 prob = 0.000000
Edge4561: 71 <--> 88 weight = 0.204395 prob = 0.000000
Edge3374: 43 <--> 63 weight = 0.036730 prob = 0.000000
Edge4288: 63 <--> 67 weight = 0.075026 prob = 0.000000

Cycle with 100 edges:  43 <-> 63   43 <-> 69   31 <-> 69   17 <-> 31   17 <-> 89   52 <-> 89   26 <-> 52   5 <-> 26   5 <-> 73   62 <-> 73   38 <-> 62   38 <-> 80   80 <-> 82   46 <-> 82   46 <-> 83   83 <-> 97   77 <-> 97   11 <-> 77   11 <-> 36   3 <-> 36   3 <-> 4   4 <-> 30   21 <-> 30   21 <-> 88   71 <-> 88   24 <-> 71   24 <-> 60   60 <-> 78   8 <-> 78   8 <-> 41   41 <-> 50   50 <-> 74   0 <-> 74   0 <-> 23   23 <-> 84   84 <-> 92   35 <-> 92   35 <-> 53   10 <-> 53   10 <-> 48   48 <-> 99   86 <-> 99   15 <-> 86   15 <-> 44   25 <-> 44   25 <-> 81   29 <-> 81   29 <-> 49   49 <-> 68   28 <-> 68   20 <-> 28   20 <-> 32   32 <-> 40   40 <-> 61   18 <-> 61   18 <-> 94   64 <-> 94   64 <-> 66   66 <-> 79   75 <-> 79   75 <-> 95   95 <-> 96   2 <-> 96   2 <-> 59   56 <-> 59   56 <-> 93   65 <-> 93   13 <-> 65   13 <-> 58   42 <-> 58   22 <-> 42   22 <-> 33   33 <-> 47   47 <-> 54   54 <-> 72   6 <-> 72   6 <-> 19   1 <-> 19   1 <-> 55   34 <-> 55   34 <-> 37   37 <-> 87   16 <-> 87   16 <-> 90   85 <-> 90   39 <-> 85   39 <-> 70   70 <-> 91   91 <-> 98   12 <-> 98   9 <-> 12   9 <-> 45   7 <-> 45   7 <-> 57   57 <-> 76   14 <-> 76   14 <-> 51   27 <-> 51   27 <-> 67   63 <-> 67 
