
Reading from file '/home/lorenzosciandra/Documenti/Code/BranchAndBound1Tree/data/AdjacencyMatrix/tsp_100_nodes/tsp_test_1.csv'

Writing to file '/home/lorenzosciandra/Documenti/Code/BranchAndBound1Tree/results/AdjacencyMatrix/tsp_100_nodes_hybrid/tsp_result_1.txt'

Optimal tour found with candidate node = 77, elapsed time = 184.559091s and interrupted = FALSE

B-&-B tree with generated BBNodes = 15605,  explored BBNodes = 14989 and max tree level = 17

SUBPROBLEM with cost = 7.837152, type = CLOSED_NEW_BEST, level of the BB tree = 15, prob = 0.992091, BBNode number = 15567 and time to obtain = 184.530151s
MST or 1-Tree with cost: 7.563834 and validity = TRUE
Edge3080: 38 <--> 59 weight = 0.117816 prob = 1.000000
Edge3479: 45 <--> 59 weight = 0.171587 prob = 0.908401
Edge3475: 45 <--> 55 weight = 0.093164 prob = 0.997970
Edge3965: 55 <--> 60 weight = 0.071960 prob = 0.958512
Edge1751: 19 <--> 60 weight = 0.051071 prob = 0.998087
Edge1766: 19 <--> 75 weight = 0.057060 prob = 0.855509
Edge4658: 75 <--> 83 weight = 0.017449 prob = 1.000000
Edge748: 7 <--> 83 weight = 0.054798 prob = 0.930848
Edge714: 7 <--> 49 weight = 0.023980 prob = 1.000000
Edge3009: 37 <--> 49 weight = 0.026763 prob = 1.000000
Edge3042: 37 <--> 82 weight = 0.055279 prob = 0.835799
Edge4804: 82 <--> 89 weight = 0.116403 prob = 1.000000
Edge1199: 12 <--> 89 weight = 0.097463 prob = 1.000000
Edge207: 2 <--> 12 weight = 0.024552 prob = 1.000000
Edge286: 2 <--> 91 weight = 0.045695 prob = 1.000000
Edge2241: 25 <--> 91 weight = 0.083181 prob = 1.000000
Edge2248: 25 <--> 98 weight = 0.124499 prob = 1.000000
Edge1463: 15 <--> 98 weight = 0.156823 prob = 1.000000
Edge1428: 15 <--> 63 weight = 0.046818 prob = 1.000000
Edge2286: 26 <--> 63 weight = 0.033691 prob = 1.000000
Edge961: 10 <--> 26 weight = 0.108038 prob = 1.000000
Edge956: 10 <--> 21 weight = 0.091191 prob = 1.000000
Edge1936: 21 <--> 88 weight = 0.009472 prob = 1.000000
Edge4561: 71 <--> 88 weight = 0.052901 prob = 1.000000
Edge4102: 58 <--> 71 weight = 0.062533 prob = 1.000000
Edge2353: 27 <--> 58 weight = 0.100591 prob = 1.000000
Edge2375: 27 <--> 80 weight = 0.006530 prob = 1.000000
Edge4773: 80 <--> 93 weight = 0.062748 prob = 1.000000
Edge2094: 23 <--> 93 weight = 0.104349 prob = 1.000000
Edge2055: 23 <--> 54 weight = 0.027480 prob = 1.000000
Edge3365: 43 <--> 54 weight = 0.089787 prob = 1.000000
Edge3379: 43 <--> 68 weight = 0.030396 prob = 1.000000
Edge824: 8 <--> 68 weight = 0.117628 prob = 1.000000
Edge807: 8 <--> 51 weight = 0.078460 prob = 1.000000
Edge437: 4 <--> 51 weight = 0.073964 prob = 1.000000
Edge436: 4 <--> 50 weight = 0.045252 prob = 1.000000
Edge3248: 41 <--> 50 weight = 0.056268 prob = 1.000000
Edge2747: 33 <--> 41 weight = 0.073557 prob = 0.998283
Edge2109: 24 <--> 33 weight = 0.060737 prob = 0.999925
Edge2123: 24 <--> 47 weight = 0.112789 prob = 0.999851
Edge1243: 13 <--> 47 weight = 0.052134 prob = 1.000000
Edge1286: 13 <--> 90 weight = 0.065984 prob = 0.999893
Edge381: 3 <--> 90 weight = 0.097094 prob = 0.999860
Edge353: 3 <--> 62 weight = 0.039086 prob = 1.000000
Edge1987: 22 <--> 62 weight = 0.053070 prob = 1.000000
Edge1953: 22 <--> 28 weight = 0.061144 prob = 1.000000
Edge2422: 28 <--> 56 weight = 0.135524 prob = 1.000000
Edge4044: 56 <--> 96 weight = 0.032050 prob = 1.000000
Edge669: 6 <--> 96 weight = 0.116147 prob = 1.000000
Edge582: 6 <--> 9 weight = 0.026859 prob = 1.000000
Edge9: 0 <--> 9 weight = 0.041263 prob = 1.000000
Edge92: 0 <--> 92 weight = 0.111240 prob = 1.000000
Edge3565: 46 <--> 92 weight = 0.156520 prob = 0.998650
Edge1816: 20 <--> 46 weight = 0.029768 prob = 0.999146
Edge1802: 20 <--> 32 weight = 0.041198 prob = 1.000000
Edge2712: 32 <--> 72 weight = 0.150102 prob = 0.998862
Edge4488: 69 <--> 72 weight = 0.070016 prob = 1.000000
Edge4513: 69 <--> 97 weight = 0.057264 prob = 0.962496
Edge4882: 87 <--> 97 weight = 0.029102 prob = 0.993513
Edge3663: 48 <--> 87 weight = 0.062181 prob = 0.959699
Edge1578: 17 <--> 48 weight = 0.089281 prob = 0.996183
Edge1570: 17 <--> 40 weight = 0.077049 prob = 0.989435
Edge3216: 40 <--> 76 weight = 0.020164 prob = 1.000000
Edge3892: 53 <--> 76 weight = 0.081511 prob = 0.984207
Edge2657: 31 <--> 84 weight = 0.022090 prob = 1.000000
Edge3133: 39 <--> 52 weight = 0.036229 prob = 1.000000
Edge2541: 30 <--> 36 weight = 0.028204 prob = 1.000000
Edge2965: 36 <--> 67 weight = 0.048071 prob = 0.993758
Edge2488: 29 <--> 52 weight = 0.059607 prob = 0.995073
Edge2520: 29 <--> 84 weight = 0.103995 prob = 1.000000
Edge1668: 18 <--> 57 weight = 0.021867 prob = 1.000000
Edge1084: 11 <--> 61 weight = 0.040513 prob = 1.000000
Edge112: 1 <--> 14 weight = 0.077399 prob = 1.000000
Edge3308: 42 <--> 53 weight = 0.090688 prob = 0.992480
Edge3334: 42 <--> 79 weight = 0.055448 prob = 0.999960
Edge3423: 44 <--> 57 weight = 0.100653 prob = 0.996875
Edge164: 1 <--> 66 weight = 0.086347 prob = 1.000000
Edge496: 5 <--> 16 weight = 0.052083 prob = 1.000000
Edge4363: 65 <--> 73 weight = 0.025756 prob = 1.000000
Edge4793: 81 <--> 95 weight = 0.045992 prob = 0.974982
Edge4397: 66 <--> 74 weight = 0.129062 prob = 1.000000
Edge4227: 61 <--> 79 weight = 0.050064 prob = 0.999995
Edge3433: 44 <--> 67 weight = 0.150795 prob = 1.000000
Edge1041: 11 <--> 18 weight = 0.076525 prob = 0.993838
Edge514: 5 <--> 34 weight = 0.134468 prob = 0.999957
Edge4735: 78 <--> 94 weight = 0.099896 prob = 0.999908
Edge2651: 31 <--> 78 weight = 0.190918 prob = 0.997770
Edge1311: 14 <--> 30 weight = 0.171772 prob = 0.994396
Edge2845: 34 <--> 74 weight = 0.183591 prob = 0.933945
Edge4783: 81 <--> 85 weight = 0.072468 prob = 0.999969
Edge2921: 35 <--> 86 weight = 0.154097 prob = 1.000000
Edge4544: 70 <--> 99 weight = 0.059740 prob = 1.000000
Edge4872: 86 <--> 99 weight = 0.092851 prob = 1.000000
Edge4360: 65 <--> 70 weight = 0.055207 prob = 1.000000
Edge1512: 16 <--> 64 weight = 0.116503 prob = 0.996262
Edge4341: 64 <--> 85 weight = 0.093913 prob = 0.979653
Edge4936: 94 <--> 95 weight = 0.126635 prob = 0.999936
Edge2874: 35 <--> 39 weight = 0.264859 prob = 0.995220
Edge3098: 38 <--> 77 weight = 0.091197 prob = 1.000000
Edge4603: 73 <--> 77 weight = 0.097178 prob = 1.000000

Cycle with 100 edges:  38 <-> 77   38 <-> 59   45 <-> 59   45 <-> 55   55 <-> 60   19 <-> 60   19 <-> 75   75 <-> 83   7 <-> 83   7 <-> 49   37 <-> 49   37 <-> 82   82 <-> 89   12 <-> 89   2 <-> 12   2 <-> 91   25 <-> 91   25 <-> 98   15 <-> 98   15 <-> 63   26 <-> 63   10 <-> 26   10 <-> 21   21 <-> 88   71 <-> 88   58 <-> 71   27 <-> 58   27 <-> 80   80 <-> 93   23 <-> 93   23 <-> 54   43 <-> 54   43 <-> 68   8 <-> 68   8 <-> 51   4 <-> 51   4 <-> 50   41 <-> 50   33 <-> 41   24 <-> 33   24 <-> 47   13 <-> 47   13 <-> 90   3 <-> 90   3 <-> 62   22 <-> 62   22 <-> 28   28 <-> 56   56 <-> 96   6 <-> 96   6 <-> 9   0 <-> 9   0 <-> 92   46 <-> 92   20 <-> 46   20 <-> 32   32 <-> 72   69 <-> 72   69 <-> 97   87 <-> 97   48 <-> 87   17 <-> 48   17 <-> 40   40 <-> 76   53 <-> 76   42 <-> 53   42 <-> 79   61 <-> 79   11 <-> 61   11 <-> 18   18 <-> 57   44 <-> 57   44 <-> 67   36 <-> 67   30 <-> 36   14 <-> 30   1 <-> 14   1 <-> 66   66 <-> 74   34 <-> 74   5 <-> 34   5 <-> 16   16 <-> 64   64 <-> 85   81 <-> 85   81 <-> 95   94 <-> 95   78 <-> 94   31 <-> 78   31 <-> 84   29 <-> 84   29 <-> 52   39 <-> 52   35 <-> 39   35 <-> 86   86 <-> 99   70 <-> 99   65 <-> 70   65 <-> 73   73 <-> 77 
65 Mandatory edges:  38 <-> 77   38 <-> 59   45 <-> 59   45 <-> 55   55 <-> 60   19 <-> 60   19 <-> 75   75 <-> 83   7 <-> 83   7 <-> 49   37 <-> 49   37 <-> 82   82 <-> 89   12 <-> 89   2 <-> 12   2 <-> 91   25 <-> 91   25 <-> 98   15 <-> 98   15 <-> 63   26 <-> 63   10 <-> 26   10 <-> 21   21 <-> 88   71 <-> 88   58 <-> 71   27 <-> 58   27 <-> 80   80 <-> 93   23 <-> 93   23 <-> 54   43 <-> 54   43 <-> 68   8 <-> 68   8 <-> 51   4 <-> 51   4 <-> 50   41 <-> 50   33 <-> 41   24 <-> 33   24 <-> 47   13 <-> 47   13 <-> 90   3 <-> 90   3 <-> 62   22 <-> 62   22 <-> 28   28 <-> 56   56 <-> 96   6 <-> 96   6 <-> 9   0 <-> 9   0 <-> 92   46 <-> 92   20 <-> 46   20 <-> 32   32 <-> 72   69 <-> 72   69 <-> 97   87 <-> 97   48 <-> 87   17 <-> 48   17 <-> 40   40 <-> 76   53 <-> 76 
15 Forbidden edges:  55 <-> 59   37 <-> 83   82 <-> 83   14 <-> 71   4 <-> 41   24 <-> 41   24 <-> 57   20 <-> 92   46 <-> 87   32 <-> 46   32 <-> 87   34 <-> 55   72 <-> 78   69 <-> 87   53 <-> 64 
Time taken: 188.00282788276672s
